"HolderAddress","Quantity","PendingBalanceUpdate"
"0xde0fe438c353091ca9fa04b8f1f23026392c661a","57","No"
"0xe82c1dcb4Ea572cBcd83d6E28F933F7aea82cB27","50","No"
"0x9598ad92db1edd4c7fcd075cbbcd8a5bc3c0a59b","32","No"
"0x035e4cc0605719a73dc100f2089980cda52a7b39","30","No"
"0x2ee98b5e8ac40ee997ec04f260b6063067ce8363","25","No"
"0x406b808bde1abe9196f98a35545b3e179193ae0f","22","No"
"0x2bf8a7b9f7628dde7444dfbb1fe221a6aebbd8e0","19","No"
"0x0000000000000000000000000000000000000000","18","No"
"0x227e80ac21a36b1044f43a0dde2075d5a40ccc64","15","No"
"0xdd47395da633881bdba28edd1abd75be68106ac2","13","No"
"0x71e6ec4d5d675a2792212e27dee2ed5363300a67","12","No"
"0x7659188e43e7bcc2fa54dbb1a9e81b91bc91c688","12","No"
"0xf110ddc9e5007dbb12a17dc673b4422407215706","12","No"
"0x096f4a61f446b948b47b4d88ceed59f22088832f","11","No"
"0x2cc9471803be44cc7bdea84f89362db9b35bbb7b","11","No"
"0x4694398055c10ee95fd59d951fab817417a3ff36","11","No"
"0x70665b1142d352af611495f1fb501cd215df8952","11","No"
"0x3dcab3dbcd697958d81d880538b0240a2259db39","10","No"
"0xad5712b077e538ffec62626f539a16831bad5f98","10","No"
"0xb3d32dfb57250c28c3737cf8c6fb0a463085b6dc","10","No"
"0x57bec2b4f261c5de61e88c06e7864cb5f079543d","9","No"
"0xc555566815d22e5a65ca78225f6268e348896747","9","No"
"0xe4b903b0e91a8295db200bb4327d94833b4e6118","9","No"
"0x0a4945d9d420e5ccc98753025e48f6a800177a64","7","No"
"0x18c03aad6a86793874bb972d2c6dce7a08608c7e","7","No"
"0x33ac7f90ce362ac72c62ffe6a187619183e439a3","7","No"
"0x90dbd191309261e1bb0b565c2e95fe5f632f0872","7","No"
"0x93d56ed4dd2e9f3f914b06e9aa9dd18bac07c6bc","7","No"
"0xa26c8f9b98c3945b7d3c85768614e3c34bd470ff","7","No"
"0xce8951064117dd22f143c0b600d7fb7ff4ad3eb2","7","No"
"0xf65b04f98302e1ead53c9fe6eacb55de20114c4a","7","No"
"0x135400da57c70eb39bd6a48a452e5a9961e8fe04","6","No"
"0x15a80ac75ac20ec7eccd13802d49c19a54ca292f","6","No"
"0x1617000c89fdec81eac30d73d6d4d92175e14222","6","No"
"0x5003ab4ceeee08feb11bacfc8b1f287aebb34bdd","6","No"
"0x5155561a95208dda8d0b7c1f28f38de4f5dc4c5c","6","No"
"0x60e15b6e28d7f001cbfbf9d32af1bdb8af6bee7c","6","No"
"0x81a93bd0442c13172f1e60936bce00972751072f","6","No"
"0x9be70ebc3c20f662580a7a0dfdffe1bd931e68b1","6","No"
"0xd3baa716752fb93d6782c9f5c8b03be93760fec5","6","No"
"0xd4959bd11540ec4b90ffffc95695194768e154bc","6","No"
"0xe61b6fb231422fd73aaaaaf9f1ac75eeff8f0cbd","6","No"
"0x1c7aebfedfc8a9780937f977698381d5bcbea9b3","5","No"
"0x38dd26d149a494686fa7ccdd3c24b14dded97d7a","5","No"
"0x4315fc305e6d70cd86b6111e2912b07eb958e131","5","No"
"0x43972dbf546abffd531e4a2e734abe0298355c65","5","No"
"0x457f28bfbbbeacb7260c59f9a597e27ef690fbe1","5","No"
"0x46d79182b9284d2f50ab5ccf0e5091efeab02ff2","5","No"
"0x4e5e4fdbeab61ccb87dd2f234807a25725fd76ff","5","No"
"0x5cc084bde137fc5aae7e74161cb45f971db79c96","5","No"
"0x6b5f99b981542d7c3dd3ef229e4d100b74509deb","5","No"
"0x7f3763f84672a0682e8fe312a7422785eb8332b4","5","No"
"0x81773fbe1142890b4910cac7628cf4c08cc81e02","5","No"
"0xb54333fc2d487cac6e60eb6fd0fb810adc47b065","5","No"
"0xb745a25e387884aa3f3174b033c811e9956576b7","5","No"
"0xb8014fd5396757c1a4201f227253634e364b04e7","5","No"
"0xbc72f0197fefb0480c86bb2dd473d179d4346519","5","No"
"0xcd77b59cb96477a5f6067d07b5269a6f44c1d648","5","No"
"0xd73fd5ce8ad168e0a9ddd49e63f0b15e68690c02","5","No"
"0xdd3e0962f1f56c3182bb716a121a93b081a08807","5","No"
"0xe3c7fe176a629acf0e32c6971a4d7b0164b2e65f","5","No"
"0xed653c1ac2f9f5624489a504331715e80412bde8","5","No"
"0x0cec50e905765d46196c0392f9440921e45153ae","4","No"
"0x0d13e430744de721384651cadbee6c1a69e40c68","4","No"
"0x0db7335c162042af920f0be9348488173dce6be1","4","No"
"0x0f4f802ef0d4e1a8f618ed8ab90908accc6190bb","4","No"
"0x0f9c92ed2554f8f7667a13f2e8893f3d31c71638","4","No"
"0x133b52505d1cc5a7b1bb8d129e11f65af58cb4f8","4","No"
"0x173918762b26b7aba7f381f0d81f51f7953361ad","4","No"
"0x2208b02f323a0917226f8a60439e6d7a10526b84","4","No"
"0x2427be55bfae1ab071f96a31fba5dcc7afdc0c6c","4","No"
"0x26573fea9f73e349feca13fc3800f075b46b8234","4","No"
"0x29dba2518ca261fe21654312e9ad837efb29bd0b","4","No"
"0x2d85417faecd5cd1a52d4e50fc6952e42a53ffd8","4","No"
